product.code,importId,qty,unit.id,productName,saleSupplySelect,deliveredQty,price,companyExTaxTotal,inTaxPrice,exTaxTotal
600-300-ZS-MINI-DDMA,4391/600-300-ZS-MINI-DDMA,1,1,600-300-ZS-MINI-DDMA,1,1,14.5,14.5,14.5,14.5
310-ZS-CLASSIC-RH-4CT,4391/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,21.88,21.88,21.88,21.88
100-TBCAP,4391/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
100-TRAVEL DE,4331/100-TRAVEL DE,1,1,100-TRAVEL DE,1,1,86.18,86.18,86.18,86.18
110-FLOSS-YD-72,4328/110-FLOSS-YD-72,2,1,110-FLOSS-YD-72,1,2,36.94,73.88,36.94,73.88
110-FLOSS-YD-72,4327/110-FLOSS-YD-72,4,1,110-FLOSS-YD-72,1,4,36.94,147.76,36.94,147.76
830-POUCH-CL,4325/830-POUCH-CL,2,1,830-POUCH-CL,1,2,29.45,58.9,29.45,58.9
100-DENTUREBRUSH,4323/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,76.61,76.61,76.61,76.61
830-POUCH-CL,4304/830-POUCH-CL,2,1,830-POUCH-CL,1,2,31,62,31,62
100-138-Y,4292/100-138-Y,1,1,100-138-Y,1,1,69.12,69.12,69.12,69.12
100-236-Z,4292/100-236-Z,1,1,100-236-Z,1,1,69.12,69.12,69.12,69.12
110-FLOSS-YD-72,4267/110-FLOSS-YD-72,3,1,110-FLOSS-YD-72,1,3,36.94,110.82,36.94,110.82
100-819-S,4250/100-819-S,1,1,100-819-S,1,1,0,0,0,0
100-819-I-DE,4250/100-819-I-DE,1,1,100-819-I-DE,1,1,0,0,0,0
100-815-Z,4250/100-815-Z,1,1,100-815-Z,1,1,0,0,0,0
100-823-DE,4250/100-823-DE,1,1,100-823-DE,1,1,0,0,0,0
100-500-Z,4250/100-500-Z,1,1,100-500-Z,1,1,0,0,0,0
100-202-Z,4250/100-202-Z,1,1,100-202-Z,1,1,0,0,0,0
100-138-Y,4250/100-138-Y,1,1,100-138-Y,1,1,0,0,0,0
100-151-Z,4250/100-151-Z,1,1,100-151-Z,1,1,0,0,0,0
100-236-Z,4250/100-236-Z,1,1,100-236-Z,1,1,0,0,0,0
100-330,4250/100-330,1,1,100-330,1,1,0,0,0,0
100-130,4250/100-130,1,1,100-130,1,1,0,0,0,0
1300-BEAR-V097,4250/1300-BEAR-V097,1,1,1300-BEAR-V097,1,1,0,0,0,0
100-USO-1,4250/100-USO-1,1,1,100-USO-1,1,1,0,0,0,0
100-FINGERB-144,4250/100-FINGERB-144,1,1,100-FINGERB-144,1,1,0,0,0,0
100-TOOFER,4250/100-TOOFER,1,1,100-TOOFER,1,1,0,0,0,0
100-TRAVEL DE,4250/100-TRAVEL DE,1,1,100-TRAVEL DE,1,1,0,0,0,0
130-STC-01-TS,4250/130-STC-01-TS,1,1,130-STC-01-TS,1,1,0,0,0,0
100-RAZ-S,4250/100-RAZ-S,2,1,100-RAZ-S,1,2,0,0,0,0
100-TBCAP,4250/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
110-FLOSS-3YD-72,4250/110-FLOSS-3YD-72,1,1,110-FLOSS-3YD-72,1,1,0,0,0,0
